feature,missing_ratio,mean,std,min,max,skewness
SPY_vol_20d,0.0,0.00925864568058444,0.006045058468697686,0.0020098594072021,0.0589009351715617,3.7778241940167865
SPY_volchg_5d,0.0,0.04992783471041507,0.4568416845110492,-0.7982489431682759,4.368139469962605,2.435072138517468
VIX_ret_1d,0.0,0.003370101295860352,0.08602629722186513,-0.3575387396234843,1.1559792516603906,2.381586529763367
VIX_ret_5d,0.0,0.014574449678282338,0.18788711894547805,-0.4666908365436109,2.1290322769669348,2.7401541997354557
VIX_ret_20d,0.0,0.040590334342151195,0.35058027666494646,-0.5815020284303916,5.04459068689646,4.948262089710622
VIX_vol_20d,0.0,0.07814483467525932,0.038027008611941825,0.0237730253803096,0.296621114026632,2.0334386031397496
USD_KRW_ret_1d,0.0,0.00013384031432437272,0.005966270286953128,-0.0346830587412203,0.0289193548574395,-0.18156193086315983
USD_KRW_ret_5d,0.0,0.0006540023106227672,0.011835982196149755,-0.0635327877166154,0.0554569654403871,-0.16761013754422438
USD_KRW_ret_20d,0.0,0.002613317747482574,0.022245723348500474,-0.1006956146554715,0.0761743452638203,-0.14440190156765603
USD_KRW_vol_20d,0.0,0.005699414351058407,0.0019346308424866212,0.0020762622572668,0.0142487315379386,1.118683029340164
USD_JPY_ret_1d,0.0,0.0001655756319866944,0.005741338545724165,-0.0372495128147323,0.0332195440707869,-0.2283924482268582
USD_JPY_ret_5d,0.0,0.0008185022214644559,0.01273720600107503,-0.0690416661931441,0.0638657845031909,-0.28909746543846093
USD_JPY_ret_20d,0.0,0.0031783348297960787,0.025780874471244265,-0.102887849678823,0.1094623814784412,0.084916616454937
USD_JPY_vol_20d,0.0,0.005346742644541681,0.002123101123372606,0.0014973476878757,0.0132962041635157,0.7586717366333674
DOLLAR_INDEX_ret_1d,0.0,8.310471658131337e-05,0.00437136663097675,-0.023702321910402,0.0205281534695189,-0.11502978108067936
DOLLAR_INDEX_ret_5d,0.0,0.0004196058539821329,0.00966205788071158,-0.0432794880514493,0.0542731183879756,0.02164412386918047
DOLLAR_INDEX_ret_20d,0.0,0.0015695475748857184,0.01833452593322876,-0.0726113249453906,0.0610115998148683,-0.013059845873339875
DOLLAR_INDEX_vol_20d,0.0,0.004151143768734624,0.0014204118177598938,0.0013022259254029,0.0104933608032809,1.16002771805436
US_10Y_ret_1d,0.0,0.0005852602547111643,0.029172706944162928,-0.2932010853111355,0.4989980089182404,1.934259757160064
US_10Y_ret_5d,0.0,0.002478540380789334,0.057874291379199846,-0.5413603072093348,0.5439024920338755,0.5335768438079151
US_10Y_ret_20d,0.0,0.008725110129987081,0.10558277235507228,-0.6774402090685825,0.4597372507506407,-0.0027493088406164725
US_10Y_vol_20d,0.0,0.02270668445913055,0.01877575437500308,0.0060488850941995,0.2046891524938163,5.625388813962574
KOSPI_Open,0.0,2554.1487704701904,898.5391985739432,1474.449951171875,9288.8896484375,3.9235894579440282
KOSPI_High,0.0,2569.3001332363096,916.6395710413393,1516.75,9385.58984375,3.9648700620649078
KOSPI_Low,0.0,2535.805279201373,878.1788973915594,1439.4300537109375,8900.6796875,3.860333012738131
KOSPI_Close,0.0,2553.369299875108,899.7781622269199,1457.6400146484375,9114.5498046875,3.920663367013007
KOSPI_Adj_Close,0.0,2553.369299875108,899.7781622269199,1457.6400146484375,9114.5498046875,3.920663367013007
KOSPI_Volume,0.0,540110.1086598617,298902.19561373064,0.0,3455500.0,2.2585205142590943
KOSDAQ_Open,0.0,768.9409848119932,141.41167732540265,443.760009765625,1226.760009765625,0.54642298431564
KOSDAQ_High,0.0,773.6177146592578,142.96716570277408,443.760009765625,1229.4200439453125,0.5562142153566594
KOSDAQ_Low,0.0,761.8607672929057,139.26151165848555,419.5499877929688,1211.3900146484375,0.5207379518689192
KOSDAQ_Close,0.0,767.8384988864551,141.35900902823272,428.3500061035156,1226.1800537109375,0.5384002716024382
KOSDAQ_Adj_Close,0.0,767.8384988864551,141.35900902823272,428.3500061035156,1226.1800537109375,0.5384002716024382
KOSDAQ_Volume,0.0,333175.9301942707,378447.5027296364,0.0,1855200.0,0.6688508537184032
target_ret_1d,0.0,0.0017789931485350655,0.02647909806950264,-0.1247002398081534,0.1590790162218733,0.3579986168909139
target_ret_5d,0.0,0.008802454638827024,0.05870246190598573,-0.2120640904806786,0.4618973561430792,0.7605461291594385
target_ret_20d,0.0,0.035206017556134325,0.1307818664386526,-0.3365384615384615,0.8999999999999999,1.8007411220689273
target_vol_20d,0.0,0.024507345116984467,0.009104851030722377,0.0100797034934989,0.0705119606104805,2.1934901883271007
target_volchg_5d,0.0,0.698006115860091,15.634917428303943,-1.0,510.4512040557668,26.085921020108316
